ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,
-0.06298828,0.8793945,0.5444336,-0.03417969,-0.8056641,0.6557617,0,3,2,4,-9,-6,1,2,-1,0,3,0,2,5,0,-1,2.75,2.75,2.75,0.0625,0.0625,0.0625,6.606812,5.088778,0.05793662,3.59391,5.065866,5.180078,,,,,,,,,,
-0.06689453,0.8457031,0.5498047,-0.03320313,-0.7651367,0.6694336,-2,1,5,24,11,1,4,3,-2,-1,-2,-1,-4,-8,-4,-1,-0.1875,-0.1875,-0.1875,8.5625,8.5625,8.5625,6.605701,5.089627,0.05680537,3.603556,5.064875,5.180697,,,,,,,,,,
-0.06689453,0.8457031,0.5498047,-0.04492188,-0.7524414,0.6582031,-2,-3,-4,-11,24,4,-2,3,0,-3,-3,-2,-3,-2,1,-3,-0.1875,-0.1875,-0.1875,-3.4375,-3.4375,-3.4375,6.605701,5.089627,0.05680537,3.606241,5.06661,5.178362,,,,,,,,,,
-0.09033203,0.8466797,0.5517578,-0.03955078,-0.7866211,0.6660156,-1,4,3,14,0,1,-3,-7,1,-1,0,-5,-2,-5,-3,-1,-0.8125,-0.8125,-0.8125,-2.1875,-2.1875,-2.1875,6.602575,5.092428,0.053343,3.602536,5.065861,5.174438,,,,,,,,,,
-0.1811523,0.8476563,0.5268555,-0.05761719,-0.7421875,0.6469727,-2,7,1,-8,0,1,1,-2,-1,0,0,0,-1,0,1,0,2.875,2.875,2.875,3.25,3.25,3.25,6.602941,5.097301,0.04207383,3.607241,5.063964,5.170563,,,,,,,,,,
-0.2763672,0.8686523,0.4545898,-0.04492188,-0.7744141,0.6162109,2,1,-1,-3,0,-2,-2,-2,-1,0,-3,-2,-2,0,7,-1,4.0625,4.0625,4.0625,4.1875,4.1875,4.1875,6.608113,5.107447,0.0414425,3.610116,5.056826,5.171301,,,,,,,,,,
0.1157227,1.056641,0.1503906,-0.04589844,-0.6958008,0.5595703,-1,-1,0,-2,0,0,0,-3,-2,-2,2,-1,1,2,4,2,2.0625,2.0625,2.0625,1.25,1.25,1.25,6.618105,5.069485,0.03937582,3.613795,5.03612,5.19227,,,,,,,,,,
-0.1074219,0.7045898,0.4985352,-0.02734375,-0.6791992,0.5356445,-1,-3,-3,-1,-3,-1,-6,-6,0,2,2,-4,-3,0,-1,0,-23.875,-23.875,-23.875,-27.75,-27.75,-27.75,6.584252,5.040138,0.03153361,3.592352,4.992148,5.227891,,,,,,,,,,
-0.08398438,0.6313477,0.484375,0.08984375,-0.7514648,0.5717773,-1,4,3,3,1,1,-1,-7,3,0,0,1,1,0,-14,0,5.6875,5.6875,5.6875,-44.25,-44.25,-44.25,6.57574,4.980736,9.998875,3.542166,4.916671,5.270508,,,,,,,,,,
0.09277344,0.7304688,0.4692383,0.05517578,-0.7612305,0.5229492,1,3,0,-2,-1,-1,2,-6,-3,-17,-13,0,0,-4,-2,1,24.5,24.5,24.5,-19.0625,-19.0625,-19.0625,6.600875,4.864544,9.962741,3.508884,4.817978,5.312322,,,,,,,,,,
0.09570313,0.6904297,0.4624023,0.1982422,-0.6713867,0.4931641,-4,4,1,2,2,-2,0,-2,0,3,5,4,-2,3,5,3,8.125,8.125,8.125,-36.0625,-36.0625,-36.0625,6.61586,4.708034,9.933839,3.470634,4.677711,5.357191,,,,,,,,,,
0.1166992,0.6723633,0.4277344,0.3378906,-0.7910156,0.5512695,-16,-1,1,-2,-3,-8,-2,1,-2,3,1,2,-1,-3,1,-1,9.8125,9.8125,9.8125,-30.375,-30.375,-30.375,6.625198,4.614763,9.915148,3.4158,4.520959,5.407914,,,,,,,,,,
0.4741211,0.7397461,0.40625,0.3720703,-0.703125,0.4414063,-3,-1,0,1,-2,0,0,-3,2,0,-2,-1,-6,-4,2,-1,58.875,58.875,58.875,4.875,4.875,4.875,6.732279,4.302283,9.817238,3.396329,4.351102,5.467008,,,,,,,,,,
0.5517578,0.7949219,0.375,0.6289063,-0.6279297,0.4257813,-6,-3,-1,-2,-3,-5,-1,-2,-1,3,-7,-4,-5,0,1,-1,21.3125,21.3125,21.3125,-18.0625,-18.0625,-18.0625,6.809524,4.086627,9.736833,3.350421,4.158688,5.536631,,,,,,,,,,
0.6220703,0.6713867,0.3745117,0.5927734,-0.6787109,0.3896484,3,-1,-1,-1,-1,0,0,1,-3,-37,3,7,16,3,0,-2,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,6.836595,3.972806,9.691682,3.303,3.968075,5.619398,,,,,,,,,,
0.8291016,0.581543,0.2612305,0.7988281,-0.6123047,0.3393555,2,-1,0,2,-3,4,-4,-4,1,2,-3,-5,-9,-5,-5,0,30.625,30.625,30.625,-9.625,-9.625,-9.625,7.003781,3.636889,9.495756,3.22155,3.766954,5.736882,,,,,,,,,,
0.9560547,0.6425781,0.1655273,0.9663086,-0.6220703,0.3095703,-12,-4,-1,-2,0,4,1,-2,-2,2,8,5,5,0,-2,0,-1.125,-1.125,-1.125,3.8125,3.8125,3.8125,7.179873,3.432901,9.289142,3.117023,3.576021,5.875556,,,,,,,,,,
