ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,,,,,
-0.1181641,0.7490234,0.40625,-0.05712891,-0.7338867,0.4985352,-1,4,0,-2,-1,0,-1,-4,0,-1,1,-1,0,-2,-2,-2,-3.25,-3.25,-3.25,-26.9375,-26.9375,-26.9375,6.656692,5.194458,9.046391,3.512468,5.158213,5.133065,,,,,,,,,,,,,,
-0.04052734,0.7753906,0.4291992,0.03369141,-0.8095703,0.5551758,-2,-3,-6,-2,-1,-1,-1,-1,-1,-5,-1,0,-1,-1,2,0,16.3125,16.3125,16.3125,-7.75,-7.75,-7.75,6.665529,5.114278,8.987176,3.497998,5.069466,5.199272,,,,,,,,,,,,,,
0.0546875,0.8154297,0.425293,0.008300781,-0.7167969,0.5043945,-1,0,-1,0,-1,0,0,1,-4,-10,-24,-7,-4,-5,-6,-5,-0.125,-0.125,-0.125,8.0625,8.0625,8.0625,6.673337,4.989289,8.932955,3.508349,4.957572,5.270427,,,,,,,,,,,,,,
0.05419922,0.7631836,0.4350586,0.1577148,-0.7143555,0.5117188,0,-3,-4,-3,-2,-1,0,-1,-1,-3,-6,6,3,0,-4,-3,-10.8125,-10.8125,-10.8125,-31.1875,-31.1875,-31.1875,6.66824,4.9161,8.9085,3.478251,4.814833,5.351534,,,,,,,,,,,,,,
0.3242188,0.7553711,0.4770508,0.2670898,-0.7939453,0.5019531,4,1,0,-12,-6,3,0,-3,-3,1,-4,-2,-2,-1,-12,-4,23.625,23.625,23.625,-22.125,-22.125,-22.125,6.703059,4.656724,8.830143,3.434471,4.649018,5.420334,,,,,,,,,,,,,,
0.3208008,0.7949219,0.4311523,0.3803711,-0.6972656,0.503418,21,-4,-1,-2,2,5,-2,-1,2,0,3,12,-2,1,-7,2,11.875,11.875,11.875,-26.25,-26.25,-26.25,6.715184,4.566956,8.807135,3.393048,4.463986,5.482299,,,,,,,,,,,,,,
0.2836914,0.7749023,0.3852539,0.4814453,-0.7568359,0.5214844,-5,0,-2,7,-3,-2,0,0,1,-2,3,-2,-3,0,9,3,11.125,11.125,11.125,-32.5625,-32.5625,-32.5625,6.728554,4.472331,8.783499,3.328803,4.282522,5.548901,,,,,,,,,,,,,,
0.6625977,0.7539063,0.4155273,0.6088867,-0.6474609,0.4628906,-3,0,1,2,1,-3,0,-2,-4,1,-3,-1,-2,-1,4,-2,80.125,80.125,80.125,-6,-6,-6,6.861703,4.161958,8.719492,3.290168,4.095756,5.606978,,,,,,,,,,,,,,
0.6948242,0.6069336,0.3764648,0.6557617,-0.6357422,0.4760742,-2,-1,0,3,1,0,0,3,-3,-1,9,7,-1,-2,1,-3,47.25,47.25,47.25,-23.5625,-23.5625,-23.5625,6.969952,3.856726,8.690477,3.240143,3.912995,5.662599,,,,,,,,,,,,,,
0.9287109,0.5429688,0.234375,0.7397461,-0.690918,0.3876953,-2,-1,-1,-1,-3,0,-2,4,1,1,12,2,-1,1,5,0,84.9375,84.9375,84.9375,-32.75,-32.75,-32.75,7.062343,3.654814,8.676598,3.157001,3.731888,5.735956,,,,,,,,,,,,,,
0.949707,0.5883789,0.2177734,0.8432617,-0.6694336,0.3149414,12,-4,-4,-1,-4,-1,1,-1,-2,-2,-4,-1,-2,-3,-8,-5,88.4375,88.4375,88.4375,3.75,3.75,3.75,7.108309,3.562847,8.680065,3.089318,3.561093,5.818668,,,,,,,,,,,,,,
0.9267578,0.5649414,0.1982422,0.8774414,-0.4833984,0.2363281,-6,-3,0,-1,-1,-4,-2,-3,-1,-3,-1,-7,-11,0,1,0,52.25,52.25,52.25,6.6875,6.6875,6.6875,7.230932,3.310727,8.675927,3.016912,3.400088,5.922228,,,,,,,,,,,,,,
